"DATA No","DATE","TIME","SensorId","Value"
423,2020/05/13,08:52:45,1,0.000000E+00
424,2020/05/13,08:52:46,2,1.875000E+01
425,2020/05/13,08:53:00,1,0.000000E+00
426,2020/05/13,08:53:01,2,0.000000E+00
427,2020/05/13,08:53:15,1,6.851563E+01
428,2020/05/13,08:53:16,2,1.070313E+02
429,2020/05/13,08:53:30,1,1.151563E+02
430,2020/05/13,08:53:31,2,0.000000E+00
431,2020/05/13,08:53:45,1,7.421875E+01
432,2020/05/13,08:53:46,2,8.835938E+01
433,2020/05/13,08:54:00,1,7.453126E+01
434,2020/05/13,08:54:01,2,3.000000E+01
435,2020/05/13,08:54:15,1,1.017969E+02
436,2020/05/13,08:54:16,2,4.789063E+01
437,2020/05/13,08:54:30,1,0.000000E+00
438,2020/05/13,08:54:31,2,0.000000E+00
439,2020/05/13,08:54:45,1,0.000000E+00
440,2020/05/13,08:54:46,2,1.217969E+02
441,2020/05/13,08:55:00,1,1.015625E+02
442,2020/05/13,08:55:01,2,1.554688E+01
443,2020/05/13,08:55:15,1,9.968750E+01
444,2020/05/13,08:55:16,2,1.523438E+01
445,2020/05/13,08:55:30,1,0.000000E+00
446,2020/05/13,08:55:31,2,0.000000E+00
447,2020/05/13,08:55:45,1,1.335938E+01
448,2020/05/13,08:55:46,2,0.000000E+00
449,2020/05/13,08:56:00,1,1.139063E+02
450,2020/05/13,08:56:01,2,2.570313E+01
451,2020/05/13,08:56:15,1,8.570311E+01
452,2020/05/13,08:56:16,2,0.000000E+00
453,2020/05/13,08:56:30,1,7.429688E+01
454,2020/05/13,08:56:31,2,0.000000E+00
455,2020/05/13,08:56:45,1,7.328124E+01
456,2020/05/13,08:56:46,2,1.207813E+02
457,2020/05/13,08:57:00,1,1.195313E+01
458,2020/05/13,08:57:01,2,1.069531E+02
459,2020/05/13,08:57:15,1,4.015625E+01
460,2020/05/13,08:57:16,2,1.170313E+02
461,2020/05/13,08:57:30,1,7.328124E+01
462,2020/05/13,08:57:31,2,9.007814E+01
463,2020/05/13,08:57:45,1,1.153906E+02
464,2020/05/13,08:57:46,2,1.562500E+01
465,2020/05/13,08:58:00,1,1.765625E+01
466,2020/05/13,08:58:01,2,4.679688E+01
467,2020/05/13,08:58:15,1,1.914063E+01
468,2020/05/13,08:58:16,2,0.000000E+00
469,2020/05/13,08:58:30,1,1.153125E+02
470,2020/05/13,08:58:31,2,1.232031E+02
471,2020/05/13,08:58:45,1,1.017969E+02
472,2020/05/13,08:58:46,2,6.593750E+01
473,2020/05/13,08:59:00,1,2.835938E+01
474,2020/05/13,08:59:01,2,0.000000E+00
475,2020/05/13,08:59:15,1,0.000000E+00
476,2020/05/13,08:59:16,2,0.000000E+00
477,2020/05/13,08:59:30,1,7.273438E+01
478,2020/05/13,08:59:31,2,1.221875E+02
